alpha,Cd,Cs,Cl,Cm
-10,0.01555513590574265,0,-1.137455940246582,0.02820807136595249
-9.5,0.01497836410999298,0,-1.089033126831055,0.03006353415548801
-9,0.01445233356207609,0,-1.039680957794189,0.03165829926729202
-8.5,0.01397255249321461,0,-0.9895047545433044,0.03301985934376717
-8,0.01353439874947071,0,-0.9383544325828552,0.03417975828051567
-7.5,0.01313059963285923,0,-0.8861011266708374,0.03517575934529305
-7,0.01275349501520395,0,-0.8326893448829651,0.03605346009135246
-6.5,0.01239844877272844,0,-0.7781625986099243,0.03684611991047859
-6,0.01206368207931519,0,-0.7226660847663879,0.03755869343876839
-5.5,0.01174851041287184,0,-0.6663950085639954,0.0381804034113884
-5,0.01145225390791893,0,-0.6095412969589233,0.03869970887899399
-4.5,0.01117477007210255,0,-0.5522441267967224,0.03911301493644714
-4,0.01091888919472694,0,-0.4945504367351532,0.03942595049738884
-3.5,0.01069328468292952,0,-0.4364113807678223,0.0396500937640667
-3,0.01050919387489557,0,-0.377804696559906,0.03979121521115303
-2.5,0.01036698557436466,0,-0.3188709020614624,0.03984329849481583
-2,0.01024936325848103,0,-0.2598628103733063,0.03980721160769463
-1.5,0.01014178153127432,0,-0.200879693031311,0.03971948474645615
-1,0.01004937384277582,0,-0.1418547034263611,0.03962748497724533
-0.5,0.009981500916182995,0,-0.08275583386421204,0.03953969478607178
0,0.009941719472408295,0,-0.02343913912773132,0.03945009037852287
0.5,0.009930499829351902,0,0.03619888424873352,0.03934397175908089
1,0.009939728304743767,0,0.09602481126785278,0.03921518474817276
1.5,0.009958025999367237,0,0.1557765901088715,0.03907863050699234
2,0.009979231283068657,0,0.2151758223772049,0.03894992917776108
2.5,0.01000954490154982,0,0.2742452621459961,0.0388391986489296
3,0.01007049437612295,0,0.3332143127918243,0.03873471543192863
3.5,0.01017831545323133,0,0.3920742571353912,0.0386136882007122
4,0.01032794732600451,0,0.4506628513336182,0.03849013522267342
4.5,0.01049980241805315,0,0.5088344812393188,0.03841140121221542
5,0.01068013720214367,0,0.5667016506195068,0.03839175030589104
5.5,0.01087438687682152,0,0.6246567368507385,0.03837027028203011
6,0.01109250821173191,0,0.6829369068145752,0.03830332309007645
6.5,0.01133528351783752,0,0.7412436604499817,0.03825882077217102
7,0.0116015300154686,0,0.7988051176071167,0.0383988544344902
7.5,0.01189735252410173,0,0.8550077676773071,0.03883696347475052
8,0.01223799679428339,0,0.9107339382171631,0.03933083266019821
8.5,0.01264487951993942,0,0.9687433242797852,0.03919339925050735
9,0.01313399989157915,0,1.031503558158875,0.03778946399688721
9.5,0.01370767038315535,0,1.099234938621521,0.03498110920190811
10,0.01435508672147989,0,1.169008016586304,0.03133517503738403
10.5,0.01505239028483629,0,1.234455108642578,0.02821168303489685
11,0.01577426493167877,0,1.289865255355835,0.02692778781056404
11.5,0.0165043193846941,0,1.33531641960144,0.02766529843211174
12,0.01721701398491859,0,1.375248432159424,0.0297220591455698
12.5,0.01787619479000568,0,1.414027571678162,0.0323396734893322
13,0.01848453469574451,0,1.453492164611816,0.03508727997541428
13.5,0.01914597488939762,0,1.492357492446899,0.03787783905863762
14,0.02011074498295784,0,1.526975989341736,0.04067764431238174
14.5,0.02179033681750298,0,1.553238987922668,0.04302007704973221
15,0.02465744130313396,0,1.568769693374634,0.04402093589305878
15.5,0.02900917828083038,0,1.573565602302551,0.04322397708892822
16,0.0348379984498024,0,1.568929195404053,0.04098381102085114
16.5,0.04193135350942612,0,1.556797981262207,0.03790895268321037
17,0.0499674417078495,0,1.539945125579834,0.03445941209793091
17.5,0.05855035036802292,0,1.521686196327209,0.03093943558633327
18,0.06731286644935608,0,1.504738569259644,0.02751314267516136
18.5,0.07609354704618454,0,1.489735960960388,0.02415137924253941
19,0.08509598672389984,0,1.473989248275757,0.02054718695580959
19.5,0.09495700895786285,0,1.451214551925659,0.01613414287567139
20,0.1066214740276337,0,1.414096832275391,0.0103821037337184
