C_d/delta,δ=-5.0°,δ=-4.0°,δ=-3.0°,δ=-2.0°,δ=-1.0°,δ=0.0°,δ=1.0°,δ=2.0°,δ=3.0°,δ=4.0°,δ=5.0°,δ=6.0°,δ=7.0°,δ=8.0°,δ=9.0°,δ=10.0°,δ=11.0°,δ=12.0°,δ=13.0°,δ=14.0°,δ=15.0°,δ=16.0°,δ=17.0°,δ=18.0°,δ=19.0°,δ=20.0°
α=-5.0°,0.01455501168441131,0.014435992858834606,0.014323933993478137,0.01421962901103541,0.014123195588550635,0.014033754960980025,0.013950624341653325,0.013874256173269515,0.01380544301349156,0.013744526475712672,0.013691766112927337,0.01364724907396197,0.01361036342391506,0.013581028419271125,0.0135596433628213,0.013546168260303502,0.013539486986033048,0.013539522016394289,0.013545685825957483,0.013558347975352937,0.013577072075490405,0.013601322104961115,0.013629964160044111,0.013661255391260526,0.013691933860431486,0.013720324048596187
α=-4.0°,0.0141016438622343,0.014001489751813484,0.013908309557169285,0.013821616490844171,0.01374154525749548,0.013668750634699783,0.013602617162344083,0.01354403221013882,0.013493136826873628,0.013449586339399194,0.013413296907569582,0.013384355158307841,0.013363664673597496,0.013350578220033181,0.013344763438414932,0.013345702210601908,0.013353040855709137,0.013367851587118503,0.01338884834612442,0.01341542029639137,0.013447358247323469,0.013484356978831281,0.013525989410357797,0.01357167367997983,0.013618747598320477,0.013665889635867318
α=-3.0°,0.013745766188640885,0.01366225355288379,0.013585881618948808,0.013517139745436191,0.013455134389855327,0.013399778527585365,0.013350683392699722,0.01330871472088366,0.013273896957874369,0.013246946962272136,0.01322718464296266,0.013214625501593916,0.013208918879985038,0.013210512890331096,0.013220120527163122,0.013236604004251197,0.013259086094163845,0.013287761820378783,0.013322561881014421,0.013364038564015664,0.013410780321439759,0.013463006244216447,0.013519847777954189,0.013580606446180735,0.013643674141214708,0.013708322126482115
α=-2.0°,0.01348054623857657,0.013414765744964531,0.013355118719264421,0.013302345433853509,0.013256845315598694,0.013218707613943314,0.013186614591660172,0.013161845449127544,0.013143792788270839,0.013132526081137462,0.013128450213290834,0.01313206368747798,0.013142789344606012,0.013159892079685102,0.013183949391222416,0.013215404653262342,0.013253840413913665,0.013298605515418668,0.013348841360402916,0.013404685861614828,0.01346622834017978,0.013533903325000308,0.01360661430471941,0.013683629304012356,0.01376306775489789,0.01384418770050888
α=-1.0°,0.013305370091456572,0.013256139436249781,0.013213755734151969,0.013177933239087189,0.013148482164437699,0.013126227235955369,0.013110190407078375,0.013101890236124415,0.013100956810899338,0.013106845086326882,0.01311897685286253,0.013137745642528453,0.013164120049748452,0.013197507882911559,0.01323768939974848,0.013284084451798331,0.01333687725188792,0.01339670421543435,0.01346318310488703,0.013535686971939147,0.013613022862758246,0.013695350884350282,0.013782302697001947,0.013874590553632698,0.013971133091464038,0.01407025718259397
α=0.0°,0.0132191536450436,0.013185790667088632,0.013159249477056111,0.013140330414238482,0.013128086151584648,0.013122492083234575,0.013122842287349872,0.013130335010804644,0.013144702294498292,0.013167022372357177,0.01319612135981178,0.013231375958300687,0.013272908629575643,0.013321042473961174,0.013376782036782294,0.013439584774793121,0.013508434862060366,0.013583619053798176,0.013664913099959939,0.013752670028625274,0.013846659201228408,0.01394594041674546,0.014049804385871853,0.014157749051195519,0.014270046176922737,0.014385641081918985
α=1.0°,0.013219660401915318,0.013203066509812043,0.01319273204303326,0.013189260523884149,0.013193394035698221,0.013204584041055022,0.01322156451844352,0.013246038526227025,0.013276655138042078,0.013314002958937187,0.013358401096903609,0.013410403292468662,0.013469025885998355,0.013533405474802656,0.013604027691139508,0.01368125668559653,0.013766928563611218,0.013859158331977353,0.013957626004589323,0.014061236551258249,0.014170510216942633,0.01428513687521687,0.014405553517844878,0.014530988849587798,0.01466059698960669,0.014793925253136993
α=2.0°,0.013310587187076978,0.013310089848278408,0.013316272272188701,0.013328760161737839,0.01334837463899625,0.0133756526792254,0.013408167494250901,0.01344848520430132,0.0134961807051213,0.013550774521087963,0.013611304582825058,0.01367830359581371,0.013752207303387368,0.013833734586744072,0.013922269561916912,0.014017060616709955,0.014117798878480302,0.01422499419980594,0.014339069525646835,0.014460118693037318,0.014586963991349906,0.014719271352118035,0.014855523829884833,0.014996414952328006,0.01514160247540497,0.015290502483774804
α=3.0°,0.013493642860517354,0.01350832650842842,0.013530714391318008,0.013560320823176646,0.013596762847059714,0.013640141751476728,0.013688948790477879,0.013744567785990808,0.01380735898119879,0.01387757792996089,0.013955523412632478,0.014040101048492938,0.014130592719201451,0.01422795213678537,0.014331884935242874,0.014443433977722615,0.014562072068102248,0.01468707792981285,0.01481771913146444,0.014954165999877238,0.015096367882595657,0.015244114131137571,0.015398182756577122,0.015557168842902366,0.0157207638435282,0.015888429734647692
α=4.0°,0.013771287282253866,0.013801608329977996,0.013839415813850429,0.013884799614143071,0.013937755604415913,0.013997790077596581,0.014063349786033373,0.014136432872027762,0.014216579882060916,0.014302941079879726,0.014395987933905416,0.01449562539301136,0.014603948306673248,0.014719452800757479,0.014841730295511312,0.014969670970190058,0.015103911480130221,0.015244576871392952,0.015392334512610746,0.015547060818016977,0.015707819145307174,0.015874523916699614,0.016045120885520427,0.016220389208499324,0.01640023343340208,0.016584145125885737
