C_l/delta,δ=-3.0°,δ=-2.0°,δ=-1.0°,δ=0.0°,δ=1.0°,δ=2.0°,δ=3.0°,δ=4.0°,δ=5.0°
α=-5.0°,-0.6969207532107704,-0.6635279438822711,-0.6298205189765163,-0.5958579862261623,-0.5615198709927092,-0.5270266574955196,-0.4925526049689456,-0.4581580534853617,-0.42390290599976765
α=-4.0°,-0.5884471478727719,-0.554682053341145,-0.5206187505454236,-0.486303435120333,-0.45167596999323345,-0.4168944702697655,-0.38214141673178637,-0.3474685101667754,-0.3129284129758894
α=-3.0°,-0.47851839581402067,-0.4444502609291441,-0.41008863576812543,-0.37548490172771354,-0.34063645373564844,-0.30563312555389116,-0.27065728211599127,-0.23576531727489908,-0.2010095357154626
α=-2.0°,-0.36744758746965606,-0.3331633317875624,-0.2985805171746826,-0.2637522736112876,-0.22874385748889045,-0.1935848985329009,-0.1584525329743452,-0.12339736686996096,-0.08847278907672629
α=-1.0°,-0.2555502622378129,-0.22110433376123417,-0.18636834401400265,-0.15138865034570295,-0.1162807303985349,-0.08101938510517342,-0.04578816612802784,-0.010634098760822717,0.024396333751105594
α=0.0°,-0.14309486661658563,-0.10855413701910849,-0.07372048112552225,-0.03864663658280385,-0.0035007962714927485,0.031800114402520493,0.06707601559074972,0.10227185610419243,0.1373428121465872
α=1.0°,-0.030319531106272425,0.004243125627475152,0.03910942041764013,0.07421841270024074,0.10934206812461672,0.14461650943525953,0.1798692731390081,0.21505053397084828,0.2501111702568733
α=2.0°,0.08250741857125816,0.11703750329440508,0.15186970292369142,0.18695062211893107,0.22199232276530798,0.257186425115852,0.29235312959231763,0.32744768543037506,0.3624275876261976
α=3.0°,0.1951216525144025,0.22956063413697927,0.26430038008195494,0.29928554459250345,0.3341811446194995,0.3692301757048088,0.40425883181042915,0.4392162001515247,0.474046556710144
α=4.0°,0.30724490932915144,0.34152743227529414,0.3761157987125168,0.4109481790718728,0.4456351446852075,0.48046833031179587,0.5152774474099953,0.5500190506084954,0.5846455009698628
α=5.0°,0.41852816808692905,0.452581125686124,0.4869503650625556,0.5215663795541023,0.5559818101548548,0.5905460469588848,0.6250870941800228,0.6595455898134065,0.6938755594504877
α=6.0°,0.5285851506157049,0.5623528056316242,0.59643550854656,0.6307670337481267,0.6648373025879607,0.6990448635009306,0.7332238437749503,0.7673275475437072,0.8013063577312233
α=7.0°,0.6368459543764756,0.6702670563834741,0.7040041718715597,0.737987381930342,0.771646427914723,0.8054418430442236,0.839203013462149,0.8728630343905056,0.9063801168007298
α=8.0°,0.7426486162006611,0.7756518755586836,0.8089732246680822,0.8425358261920711,0.8756970142545881,0.9089705543978093,0.9421979485172498,0.9753362463197753,1.0083309992698017
α=9.0°,0.8448352747334552,0.876086300779509,0.9102014429784994,0.9432700434363921,0.9758522327958289,1.0085476550885975,1.0411859771016678,1.0736967123835974,1.106015680097371
α=10.0°,0.9416753731053946,0.9736566098473974,1.0059456021270003,1.0384466522593712,1.0703404803643017,1.1023030474892,1.1341777876793402,1.165903139478142,1.1974467444584302
α=11.0°,1.0292654845636027,1.0606832186005946,1.0923856355279902,1.1242524246451389,1.1553419764205732,1.1864839506468585,1.2174958940950562,1.2483021850990688,1.278825127416085
α=12.0°,1.096333871087732,1.1273653380836937,1.1584053843543214,1.1892547274591465,1.2185911066325041,1.2477804043570164,1.2765234898699485,1.3050721259174194,1.333395978877381
α=13.0°,1.0808644313813403,1.1137770010407946,1.147066023095559,1.1806546823949344,1.2130878295190561,1.2458777409812936,1.2787446452938451,1.3112861220239256,1.343245771448156
α=14.0°,1.008213209219276,1.0375839337456372,1.06621023277239,1.0946810951337835,1.1220127398782962,1.1496504578226292,1.1771050761003297,1.2042127332052377,1.2303206920386454
α=15.0°,0.9374612663588641,0.9619552841252303,0.9866127270747307,1.0113986352522282,1.0344210823178435,1.0566800062900217,1.079493823354485,1.1023489905968151,1.1251529191886862
