C_m/delta,δ=-3.0°,δ=-2.0°,δ=-1.0°,δ=0.0°,δ=1.0°,δ=2.0°,δ=3.0°,δ=4.0°,δ=5.0°
α=-5.0°,0.043826863160225944,0.0376990079484319,0.031500695245476745,0.025243967146348637,0.01891093618106503,0.012534504856068966,0.0061631162248936425,-0.00019073275778902732,-0.0065144416691771895
α=-4.0°,0.045822829983601265,0.03960669958263457,0.033322927782512946,0.026981770294765575,0.02057661421208944,0.01412882608594442,0.007687474102397749,0.001264073090513696,-0.005129467523270142
α=-3.0°,0.047566595857269155,0.04127866805642023,0.03492430171306586,0.028514324014665412,0.02205296112868164,0.015549521285243223,0.009052941212532072,0.0025748894046463376,-0.0038732131492137663
α=-2.0°,0.049094250547447114,0.04275309666808862,0.036345203785097334,0.02988187843852131,0.023379127192503037,0.01683495341677346,0.010298129948931034,0.0037795835484021496,-0.002709553529007066
α=-1.0°,0.05043981045759721,0.04405997698983699,0.037614754434927476,0.031114633467400746,0.02458551072961674,0.018015095094384703,0.011452505517593598,0.004908273975500567,-0.0016068423029144217
α=0.0°,0.05163351702548777,0.04523061111119839,0.038762289143927486,0.03223985069271094,0.02569929140479854,0.019117819974994142,0.012544019822725003,0.005989030902941364,-0.0005368985519186318
α=1.0°,0.0527003485241073,0.04629123498788505,0.039815419991742255,0.033285524784323325,0.02674823469852836,0.020170832066813506,0.01360127951219067,0.007050007681831878,0.0005275097644067711
α=2.0°,0.05366739738633625,0.04726654050810349,0.04079927999441735,0.0342773221389168,0.027758545227802685,0.021200046406186012,0.014650000535173516,0.008118561480202824,0.0016157171607740532
α=3.0°,0.05456262170672576,0.04818470312200639,0.041740590829973216,0.03524262794685185,0.02875768594348558,0.022233911560453373,0.015718151672798643,0.009221228859856052,0.002754340998373771
α=4.0°,0.0554138927372225,0.049075093163181066,0.04266957406516957,0.03621046296465551,0.029774773583870814,0.023301754668776122,0.016837690465188376,0.010392658417237263,0.003976877736315516
α=5.0°,0.05625419140052225,0.04997165620571062,0.04362111662336467,0.03721686267385789,0.030846434368998983,0.024439560905100313,0.018041973297261513,0.011665293871570344,0.0053198170067533836
α=6.0°,0.05712385980686547,0.05091257067887753,0.04463343394726973,0.03830049472328021,0.03201225781658698,0.025689867940918685,0.01937792809064283,0.013087161057649788,0.006828020954739421
α=7.0°,0.05807458454804842,0.05195135419914438,0.04576006579372884,0.039515536662541866,0.0333268725009441,0.027105695270000667,0.020896141945372246,0.014710865192218269,0.008559941756870583
α=8.0°,0.059172573633786245,0.053155255356289594,0.047069568732580135,0.04093153892637295,0.034862160828839306,0.028764170058092238,0.022679870551243313,0.016619939612974713,0.010595600538975786
α=9.0°,0.06052288296375028,0.054723747392549704,0.04867035855406123,0.04265920145668376,0.036730515792403017,0.03077544237295167,0.02483590754214945,0.018925310632650724,0.013056399409592393
α=10.0°,0.06229058111885184,0.056546492696097704,0.05073419668091021,0.04487317112367253,0.03911203635071391,0.03333104093748423,0.027569834740203986,0.021841320239615884,0.016155658434166022
α=11.0°,0.06482916701832558,0.059261963031610264,0.053627222894967116,0.047947929157552534,0.042391401411833084,0.03681963131645459,0.03127291847520705,0.02576609989946642,0.020314187203999245
α=12.0°,0.06915965775741145,0.06383532267960472,0.058472991118352746,0.05311111830133327,0.04797697668394526,0.04285789341196618,0.03780027687856615,0.0327723750489221,0.027779600406276656
α=13.0°,0.07443496331034165,0.06970182531827732,0.06492392713842711,0.06012627313900721,0.05546760604651512,0.05079444589818944,0.04607973772130575,0.041290913170959745,0.03643736849027357
α=14.0°,0.07017317551233836,0.06503378322427572,0.059780333862149426,0.05447551565247198,0.04932957841116617,0.044207960780669874,0.03909723854041173,0.03400157452858572,0.02889506054825987
α=15.0°,0.06436441413581068,0.05881975650466044,0.05318076648977976,0.04748424558549021,0.041886643469110134,0.03623130536672073,0.030621258553146867,0.025033923262445624,0.019471074365576546
