C_l/delta,δ=-5.0°,δ=-4.0°,δ=-3.0°,δ=-2.0°,δ=-1.0°,δ=0.0°,δ=1.0°,δ=2.0°,δ=3.0°,δ=4.0°,δ=5.0°,δ=6.0°,δ=7.0°,δ=8.0°,δ=9.0°,δ=10.0°,δ=11.0°,δ=12.0°,δ=13.0°,δ=14.0°,δ=15.0°,δ=16.0°,δ=17.0°,δ=18.0°,δ=19.0°,δ=20.0°
α=-5.0°,-0.7626850600951104,-0.7300766985041155,-0.6970441562646845,-0.6636422804958888,-0.6299235118165839,-0.595949716754804,-0.5616006240986019,-0.5270963288507667,-0.4926109042547849,-0.45820501423241183,-0.42393900509104476,-0.3898723188425067,-0.35606506819884426,-0.3225862404398601,-0.28951095502112106,-0.256928662980476,-0.22492532044341804,-0.19359185444373228,-0.16303651807466757,-0.1333822097696577,-0.10477485245661788,-0.07738171577944156,-0.05139946483504518,-0.027064302757809338,-0.00465736447483942,0.015481604630501142
α=-4.0°,-0.6549955899977021,-0.621983049899656,-0.5885552603460614,-0.5547780615266992,-0.5207036493093419,-0.48637733679531087,-0.45173956216571765,-0.41694731560396364,-0.3821834103106197,-0.3474991200434129,-0.31294785303853606,-0.2785894617589593,-0.2444879637369691,-0.2107042087445536,-0.1773048931799687,-0.1443675558895519,-0.11197572366775545,-0.08021884177961645,-0.04918823850594236,-0.01899191378232533,0.01024565223387246,0.03837822459551286,0.06523783953349914,0.09063073418001025,0.11433288864559683,0.13607298177110774
α=-3.0°,-0.5456486318789359,-0.5123366151018829,-0.47861247917223754,-0.4445333338781369,-0.4101605899872829,-0.37554531351393294,-0.34068605462676843,-0.3056720266140366,-0.2706854196394252,-0.23578402011457733,-0.2010172522755528,-0.16643428324615767,-0.13209339119128077,-0.09805783058081653,-0.0643964218407223,-0.031174287837338638,0.0015347104795684426,0.03365126724546792,0.06508767283817793,0.09574218036959972,0.1255107683136625,0.1542674895633546,0.1818670359196298,0.20814546215941732,0.23291398006892783,0.255955428890392
α=-2.0°,-0.43502500207632666,-0.4014768702757796,-0.3675274697290026,-0.3332324034955441,-0.2986402841593651,-0.2638013222323216,-0.22878239306266154,-0.19361289319515726,-0.1584694770203889,-0.12340358954969807,-0.08846924319001223,-0.05372163989417139,-0.019207681589651825,0.015017416894709633,0.04888967230773471,0.08234024641248235,0.11529866764081173,0.14769599085791282,0.1794552433337401,0.2104868137964597,0.24069093841722924,0.2699552271210584,0.2981608502182395,0.3251670543373856,0.35081288429808033,0.3749158880697348
α=-1.0°,-0.3234345871318925,-0.2897313738844705,-0.25561903747188003,-0.2211614740022417,-0.1864147186369007,-0.15142436413818536,-0.116305984312498,-0.08103509018906703,-0.04579346827562309,-0.010628449184540492,0.02441261658029776,0.05927733519820489,0.09390868333714271,0.12825637345730465,0.16226654580765598,0.1958782882971263,0.22902410726543784,0.2616312571340055,0.29362884901395087,0.3249388239575438,0.35547751813545186,0.38514554897510067,0.41383568195962833,0.441420679357472,0.46776373838225915,0.49271312512852916
α=0.0°,-0.21113270244396945,-0.17734920793806494,-0.14315322469324995,-0.10860154849684354,-0.07375682806952333,-0.03867154349021835,-0.0035152867438772765,0.031796120893458485,0.06708222610724715,0.10228743888523065,0.13736850736694503,0.1722795744561066,0.20697166401739756,0.2413902437093906,0.2754727192345815,0.3091706318989846,0.34242312481498205,0.37516374986224443,0.40732663568587496,0.43883454506211855,0.46960821797201924,0.49956467932921667,0.5286094383122121,0.5566335725572523,0.5835099554751463,0.609103953541516
α=1.0°,-0.09839481184918868,-0.06458698704733708,-0.030366099627984623,0.004207441002373102,0.039083360061197336,0.07420305199687004,0.10933710211974502,0.1446219153613299,0.17988585386273648,0.2150775299672711,0.25014703427019924,0.285041898357258,0.31972107427273977,0.35413845233366514,0.3882379492865797,0.421963021256675,0.4552439676482343,0.48803233746262925,0.5202664874008094,0.5518816797932845,0.5828005971882884,0.6129440679909459,0.642221152796963,0.6705390878081421,0.6977919269524604,0.7238569933843944
α=2.0°,0.014522221957931377,0.048285320203675305,0.08247172776364542,0.11701349484111599,0.15185642909563524,0.1869471764984808,0.22199946321590702,0.25720278190822127,0.2923798358556189,0.3274846944931379,0.36247656971181896,0.3973037568722228,0.4319172965900308,0.4662618039824391,0.5002900116721167,0.5339541534506104,0.5671999155436466,0.5999685680416676,0.6321965669568416,0.663816244978844,0.6947672391053137,0.7249770104613139,0.7543727955250574,0.7828622397401973,0.81034620577945,0.8367165228173503
α=3.0°,0.12736790210134213,0.16101220004125305,0.19509644159512946,0.22954662391705827,0.2642978493873273,0.2992940863862686,0.33420090354973525,0.36926051473178145,0.40429990172614744,0.4392657264369661,0.4741062980049332,0.5087818322390928,0.5432519141736012,0.577461256238512,0.6113621027702829,0.6448943733887624,0.6780075221554179,0.7106526998027449,0.7427783904515386,0.7743219524814413,0.805217856319201,0.8353973446762373,0.864779421954392,0.8932924462897069,0.9208443745241329,0.9473349064535601
α=4.0°,0.23984871354098666,0.2733184033600302,0.3072341955900965,0.3415266404640855,0.3761255566625997,0.4109692468696708,0.44566686490062013,0.4805107071779897,0.5153303225543493,0.550083664896109,0.5847207098411297,0.619193791723039,0.653440561718791,0.6874247224358999,0.7210997255992416,0.7544233667843973,0.7873384525783725,0.8197911716772852,0.8517204591536931,0.8830677570430964,0.9137792883261106,0.9437889030864298,0.9730397576237935,1.0014480279594808,1.0289252675102392,1.0553772246791076
